A&A	Astronomy and Astrophysics
ucb..rept	California Univ., Berkeley Report
ucla.rept	California Univ., Los Angeles Report
UCLAP	Astronomical Papers University of California Los Angeles
ucsd.rept	California Univ., San Diego Report
udnw.rept	Delaware Univ., Newark Report
UECBu	University Electro Communications Bulletin
UGC	Nova Acta Regiae Soc. Sci. Upsaliensis Ser. V
UGSJR	U S Geological Survey Journal Research
UISTS	San Diego CA Univelt Inc Science Technology Series
UkFiZ	Ukrainskii Fizicheskii Zhurnal
UkJPO	Ukrainian Journal of Physical Optics
UkMaZ	Ukrainskii Matematicheskii Zhurnal
UltIm	Ultrasonic Imaging
Ultmi	Ultramicroscopy
Ultra	Ultrasonics
UltSc	Ultrafast Science
UMAM	Uspekhi Mekhaniki Advances Mechanics
umassrept	Massachusetts Univ. Report
umd..rept	Maryland Univ. College Park Report
UMIB	Unione Matematica Italiana Bollettino
Umsch	Umschau
UMt1K	Universite de Montpellier
UNAer	Universita di Napoli Aeritalia S
UnECR	University Electro Communications Reports
UniCl	Universe Classroom
Univ	Universe
Unive	Universitas
UNPSA	United Nations Programme on Space Applications
UppAn	Uppsala Astronomical Observatory Annals
UppOR	Uppsala Astronomical Observatory Reports
Urani	Urania (Krakow)
UrBar	Urania (Bracelona)
URSB	URSI Radio Science Bulletin
URSL	URSI Radio Science Letters
UsFiN	Uspekhi Fizicheskikh Nauk
USGS	U.S. Geological Survey Report
USGSP	U.S. Geological Survey Professional Paper
USNOC	U.S. Naval Observatory Circulars
USNOM	Astronomical and Meteorological Observations made at the U.S. Naval Observatory
USNOO	Observations made at the U.S. Naval Observatory
USOC	Unified System Orbit Computation USOC
uta..rept	Texas Univ., Austin Report
UtMat	Utilitas Mathematica
UtrOv	Utrechtse Sterrekundige Overdrukken
VA	Vistas in Astronomy
VAC	Voies Aviation Civile Fall Winter
Vacuu	Vacuum
VADMT	VKI New Approaches in the Description and Modeling of Turbulence
VADVS	VKI Advanced Design of Ventilation Systems
VAFC	VKI Axial Flow Compressors
VAG	Vierteljahresschrift der Astronomischen Gesellschaft
VANTS	Voprosy Atomnoi Nauki i Tekhniki Seriia Fizika Plazmy i Problemy Upravliaemykh Termoiadernykh Reaktsii
Vasio	Vasiona
VatAR	Specola Astronomica Vaticana Annual Reports
VatCo	Specola Astronomica Vaticana Comunicazione
VatMA	Specola Astronomica Vaticana Miscellanea Astronomica
VatOP	Vatican Observatory Publications
VatPS	Specola Astronomica Vaticana Pubblicazioni Serie Seconda
VatRA	Specola Astronomica Vaticana Richerche Astronomiche
VatRS	Specola Astronomica Vaticana Ricerche Spettroscopiche
VBLT	VKI Boundary Layers in Turbomachines
VCCPP	VKI Combined Cycles for Power Plants
VCFDI	VKI Computational Fluid Dynamics for Industrial Flows
VCGFV	VKI Computer Graphics Flow Visualization and Computational Fluid Dynamics
VDIF	VDI Forschungsheft
VDIZ	VDI Z
VDIZF	VDI Zeitschriften Fortschritt Berichte Reihe Stroemungstechnik
VeABD	Veroeffentlichungen des Astronomischen Rechen-Instituts zu Berlin-Dahlem
VeARI	Veroeffentlichungen des Astronomischen Rechen-Instituts Heidelberg
VeBab	Veroeffentlichungen der Sternwarte Babelsberg
VeBam	Veroeffentlichungen der Remeis-Sternwarte zu Bamberg
VeBB	Veroeffentlichungen der Universitaetssternwarte zu Berlin-Babelsberg
VeBKI	Veroeffentlichungen des Bayerische Kommission Int. Erdmessung
VeBoc	Veroeffentlichungen des Astronomischen Instituts der Ruhr-Universitaet Bochum
VeBon	Veroeffentlichungen des Astronomisches Institute der Universitaet Bonn
VeFra	Veroeffentlichungen des Astronomisches Institute der Universitaet Frankfurt
VeGG	Veroeffentlichungen der Geod. Geophys
VeGoe	Veroeffentlichungen der Universitaets-Sternwarte zu Goettingen
VeHei	Veroeffentlichungen der Badischen Sternwarte zu Heidelberg
VeJen	Veroeffentlichungen der Universitaets-Sternwarte zu Jena
VeKAB	Veroeffentlichungen des Koeniglichen Astronomischen Rechen-Instituts zu Berlin
VeKar	Veroeffentlichungen der Grossherzoglichen Sternwarte zu Karlsruhe
VeKaz	Akademiia Nauk Kazakhskoi SSR Vestnik
VeKha	Vestnik Khar'kov Universitet
VeKie	Vestnik Kievskogo Universiteta Seriya Astronomii
VeKoe	Veroeffentlichungen der Universitaets-Sternwarte Koenigsberg Pr.
VeLdn	Verslag van den staat der Sterrewacht te Leiden
VeLei	Veroeffentlichungen der Universitaetssternwarte zu Leipzig
VeLen	Leningradskii Universitet Vestnik Matematika Mekhanika Astronomiia
VeLGU	Vestnik LGU
VeMos	Vestnik Moskovskogo Universiteta Seriya 3 Fizika Astronomiya
VeMun	Veroeffentlichungen der Sternwarte Munchen
VeNav	Akademiia Navuk BSSR Vestsi Seryia Fizika Tekhnichnykh Navuk
Verme	Vermessungstechnik
Vert	Vertica
Vertf	Vertiflite
Vesmi	Vesmir
VeSon	Veroeffentlichungen der Sternwarte Sonneberg
VeSSR	Akademiia Nauk SSSR Vestnik
VETT	Voprosy Elektroniki Tverdogo Tela
VeWFS	Veroeffentlichung der Wilhelm Foerster Sterwarte
VeZPE	Veroffentlichungen des Zentralinstituts Physik der Erde
VGTET	VKI Gas Turbine Engine Transient Behaviour
VIAEA	Vienna International Atomic Energy Agency
VICFD	VKI An Introduction to Computational Fluid Dynamics
ViGeo	Vissha Geodeziia
VIHE	VKI Industrial Heat Exchangers
ViHei	Veroeffentlichungen der Badischen Landes-Sternwarte zu Heidelberg
VilCo	Villanova University Observatory Contributions
VilOB	Vilnius Astronomijos Observatorijos Biuletenis
VIMT	VKI An Introduction to Modeling Turbulence
VISBD	Vibration Inst Shock Vibration Digest
VisKi	Visnik Kiiv. Univ., Fiz.-Mat. Nauki, Astron
ViUkr	Akademiia Nauk Ukrains koi RSR Visnik
VJS	Virginia Journal of Science
VKAWA	Verhandelingen der Koninklijke Akademie van Wetenschappen te Amsterdam
VKha	Vestnik Khar'kovskogo Universiteta
VKie	Veroeffentlichungen der Universitaets-Sternwarte Kiel
VKILV	VKI Laser Velocimetry
VKIMT	VKI Measurement and Techniques
VKIRT	VKI Radial Turbines
VKISP	VKI Spacecraft Propulsion
VMATP	VKI Modeling and Applications of Transport Phenomena in Porous Media
VMed	Vierteljahrschrift f&uuml;r Gerichtliche Medizin und &Ouml;ffentliches Sanit&auml;tswesen
VMHT	VKI Methodology Hypersonic Testing
VMKAN	Verslagen en Mededeelingen der Kon. Academie van Wetenschappen, Afd. Natuurkunde
VMOIP	Voprosy Metrologicheskogo Obespecheniia Izmereniia Parametrov Tekhnologicheskikh Lazerov
VMSAI	Video Memorie della Societa Astronomica Italiana
VMTA	VKI Measurement Techniques in Aerodynamics
VNG	Vierteljahrsschrift der Naturforschenden Gesellschaft in Z&uuml;rich
VNGG	VKI Numerical Grid Generation
VNMFT	VKI Numerical Methods for Flows in Turbomachinery
VnMP	Vychislitelnye Metody i Programmirovanie
VnPM	Vychislitelnaia i Prikladnaia Matematika
VopDP	Voprosy Dinamiki i Prochnosti
VopGA	Voprosy Gidrodinamiki Atmosfery
VopK	Voprosy Kibernetiki
VopTP	Voprosy Teorii Plazmy
VossZ	Vossische Zeitung
VoTAS	Voprosy Teorii Atomnykh Stolknovenii
VPIDV	VKI Particle Image Displacement Velocimetry
vrsp....1	Vibrational-Rotational Spectroscopy for Planetary Atmospheres, Volume 1
vrsp....2	Vibrational-Rotational Spectroscopy for Planetary Atmospheres, Volume 2
VSD	Vehicle System Dynamics, International Journal of Vehicle Mechanics and Mobility
VSSCi	Royal Astronomical Society of New Zealand Variable Star Section Circulars
VTJ	Vitro Technical Journal
VTSAU	Voprosy Teorii Sistem Avtomaticheskogo Upravleniia
VTSF	VKI Turbulent Shear Flows
VVRD	VKI Vibration Rotor Dynamics
W&S	Waerme und Stoffuebertragung
WaMot	Wave Motion
WASP	Water Air and Soil Pollution
WatWa	Water Waves
WavEl	Wave Electronics
WBWA	Weltraumfahrt. Beitraege zur Weltraumforschung und Astronautik
WCD	Weather and Climate Dynamics
WCRp	World Climate Report
WCS	Weather, Climate and Society
Wear	Wear
WearB	Wear B
WeiEn	Weight Engineering
WeldJ	Welding Journal
Welt	Die Weltall
Werk	Werkgroepnieuws
wfc..rept	Space Telescope WFC Instrument Science Report
WFINw	IAU Working Group on Wide-Field Imaging, Newsletter
wfir.prop	NASA WFIRST Proposal
wfpc.rept	Space Telescope WFPC2 Instrument Science Report
WiEn	Wind Energy
WiEng	Wind Engineering
WiEnS	Wind Energy Science
WinAR	Annual Report of the Windsor Observatory, New South Wales
WisBB	Monatsber. Deutsch. Akad Wissenschaftliche Berlin
WisBT	Wissenschaftliche Berichte AEG Telefunken
WisZe	Wissenschaftliche Zeitschrift
WJCMP	World Journal of Condensed Matter Physics
WJM	World Journal of Mechanics
WJNSE	World Journal of Nano Science and Engineering
WJNST	World Journal of Nuclear Science and Technology
wps..prop	NASA WPS Proposal
WRCM	Waves in Random and Complex Media
WRM	Waves in Random Media
WRR	Water Resources Research
WSAA	Wiley Praxis Series in Astronomy and Astrophysics
WSAAA	Workshop Series of the Asociacion Argentina de Astronomia
WSAPC	Wiley Praxis Series in Atmospheric Physics and Climatology
WSBPA	Wiley Series in Beam Physics and Accelerator Technology
WSGeo	Wiley Praxis Series in Geophysics
WSICP	Wiley Series in Ion Chemistry and Physics
WSPP	Wiley Series in Plasma Physics
Wszec	Wszechswiat
WtFor	Weather and Forecasting
Wthr	Weather
Wuli	Wuli
xmm..pres	XMM-Newton Press Release
xmm..prop	XMM-Newton Proposal
XRS	X-ray Spectrometry
YaFiz	Yadernaya Fizika
YalAR	Annual report of the Astronomer of the Winchester Observatory of Yale College
YalRY	Reports for the year presented by the Board of Managers of the Observatory of Yale University to the President and Fellows
YamC	Yamamoto Circular
yCat	VizieR Online Data Catalog
yCatp	VizieR Online Data Catalog (other)
YerOB	Bulletin of the Yerkes Observatory of the University of Chicago
YUFEM	Yamaguchi University Faculty of Engineering Memoirs
YUTR	Yamaguchi University Technology Reports
ZA	Zeitschrift fur Astrophysik
ZaDN	Zagadnienia Drgan Nieliniowych
ZAGeo	Zeitschrift fur Angewandte Geographie
ZaLab	Zavodskaia Laboratoriia
ZaMM	Zeitschrift Angewandte Mathematik und Mechanik
ZaMP	Zeitschrift Angewandte Mathematik und Physik
ZAPhy	Zeitschrift fur Angewandte Physik
ZaTsA	TsAGI Uchenye Zapiski
ZEAPC	Zeitschrift f&uuml;r Elektrochemie und Angewandte Physikalische Chemie
ZeIE	Zeitschrift elektrische Informations und Energietechnik
ZeMet	Zeitschrift fur Meteorologie
ZemVs	Zemlia i Vselennaia
Zenit	Zenit
ZePAN	Zeitschrift Physik Atomic Nuclei
ZEVGA	Zeitschrift fur Eisenbahnwesen und Verkehrstechnik Glasers Annalen
ZFlu	Zeitschrift fur Flugwissenschaften
ZFlWe	Zeitschrift fur Flugwissenschaften und Weltraumforschung
ZGeo	Zeitschrift fur Geophysik
ZGlGl	Zeitschrift fur Gletscherkunde und Glazialgeologie
ZGm	Zeitschrift fur Geomorphologie
ZGmS	Zeitschrift fur Geomorphologie Supplement
ZhETF	Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki
ZhPhy	Zhurnal Physik
ZhPmR	ZhETF Pisma Redaktsiiu
ZhPS	Zhurnal Prikladnoi Spektroskopii
ZhTFi	Zhurnal Tekhnicheskoi Fiziki
ZiZa	Ziran Zazhi
ZK	Zeitschrift fur Kristallographie
ZKMP	Zeitschrift fur Kristallographie Mineralogie und Petrographie
ZKS	Zeitschrift fur Kristallographie Supplements
ZMetl	Zeitschrift fur Metallkunde
ZMP	Zeitschrift f&uuml;r Mathematik und Physik
ZNatA	Zeitschrift Naturforschung Teil A
ZNPFK	Zhurnal Nauchnoi i Prikladnoi Fotografii i Kinematografii
ZPC	Zeitschrift fur Physikalische Chemie
ZPCF	Zeitschrift fur Physikalische Chemie Frankfurt
ZPCNF	Zeitschrift fur Physikalische Chemie Neue Folge
ZPCW	Zeitschrift fur Physikalische Chemie Wiesbaden
ZPhy	Zeitschrift fur Physik
ZPhyA	Zeitschrift fur Physik A Hadrons and Nuclei
ZPhyB	Zeitschrift fur Physik B Condensed Matter
ZPhyC	Zeitschrift fur Physik C Particles and Fields
ZPhyD	Zeitschrift fur Physik D Atoms Molecules Clusters
Zprav	Zpravodaj VZLU
ZvDeb	Zvaigsnota Debess
ZVer	Zeitschrift Vermessungswes.
ZVMMF	Zhurnal Vychislitelnoi Matematiki i Matematicheskoi Fiziki
ZWer	Zeitschrift Werkstofftechnik
ACHA	Applied and Computational Harmonic Analysis
ACSMO	Advances in Statistical Climatology, Meteorology and Oceanography
AE&AT	Aircraft Engineering & Aerospace Technology
AICSP	Analog Integrated Circuits and Signal Processing
AJSR	Australian Journal of Soil Research
AMSBu	Bulletin of the American Meteorological Society
APEC	Active and Passive Electronic Components
APMat	Advanced Performance Materials
AS&T	Aerosol Science & Technology
AcAM	Acta Applicandae Mathematicae
AcBio	Acta Biotheoretica
AcCrB	Acta Crystallographica Section B-structural Science
AcCrC	Acta Crystallographica Section C-crystal Structure Communications
AcElc	Electrochimica Acta
AcHCh	Helvetica Chimica Acta
AcM	Acta Mathematica
AcMaH	Acta Mathematica Hungarica
AcOdS	Acta Odontologica Scandinavica
AcOrS	Acta Orthopaedica Scandinavica
AdBeh	Adaptive Behaviour
AdCoM	Advances in Computational Mathematics
AdMat	Advances in Mathematics
AdPoS	Advances In Polymer Science
Adsor	Adsorption
AnBio	Analytical Biochemistry
AnChe	Analytical Chemistry
AnGAG	Annals of Global Analysis Geometry
AnIHP	Annales De L Institut Henri Poincare-physique Theorique
AnISM	Annals of the Institute of Statistical Mathematics
AnMAI	Annals of Mathematics and Artificial Intelligence
AnOR	Annals of Operations Research
ApAI	Applied Artificial Intelligence
ApJL	The Astrophysical Journal Letters
ApMF	Applied Mathematical Finance
ApMa	Applications of Mathematics
Archa	Archaeometry
AsAna	Asymptotic Analysis
AsAut	Assembly Automation
Aslib	Aslib Proceedings: new information perspectives
BBRC	Biochemical and Biophysical Research Communications
BCB	Biochemistry and Cell Biology
BJET	British Journal of Educational Technology
BJMSP	British Journal of Mathematical and Statistical Psychology
BJP	British Journal of Psychology
BJPS	The British Journal for the Philosophy of Science
BMBio	Bulletin of Mathematical Biology
BRCPS	Biological Reviews of the Cambridge Philosophical Society
BSSA	Bulletin Of The Seismological Society Of America
Bern	Bernoulli
BioMi	Biomedical Microdevices
Biome	Biometrika
Biorh	Biorheology
BiotL	Biotechnology Letters
Brain	Brain
C&G	Computers & Geosciences
CAMD	Journal of Computer-Aided Molecular Design
CBR	Computers and Biomedical Research
CERDA	Chemical Engineering Research & Design. Part A, Transactions of the Institution of Chemical Engineers
CEyeR	Current Eye Research
CJCh	Canadian Journal Of Chemistry-revue Canadienne De Chimie
CJMat	Canadian Journal Of Mathematics-journal Canadien De Mathematiques
COA	Computational Optimization and Applications
COIR	Clinical Oral Implants Research
CPC	Combinatorics, Probability and Computing
CS&L	Computer Speech & Language
CVIU	Computer Vision and Image Understanding
CaGeJ	Canadian Geotechnical Journal
CaJCE	Canadian Journal of Civil Engineering
CaJSS	Canadian Journal of Soil Science
CarR	Caries Research
CarRv	Catalysis Reviews
CatL	Catalysis Letters
Catt	CATTECH
Cellu	Cellulose
ChSRv	Chemical Society Reviews
CirW	Circuit World
CoAlg	Communications in Algebra
CoPDE	Communications in Partial Differential Equations
CoSSC	Communication in Statistics - Simulation and Computation
CoSTM	Communication in Statistics - Theory and Methods
CoVar	Complex Variables
ColJ	Colloid Journal
ComRv	The Communication Review
Compe	COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering
CySys	Cybernetics and Systems
DSSys	Dynamics and Stability of Systems
DTr	Dalton Transactions
DokPC	Doklady Physical Chemistry
DySys	Dynamical Systems: An International Journal
EDAM	AI EDAM
EEyeR	Experimental Eye Research
EJAM	European Journal of Applied Mathematics
EJBio	European Journal of Biochemistry
EJC	European Journal of Combinatorics
EMBO	The EMBO Journal
EMPS	Electric Machines and Power Systems
ETDS	Ergodic Theory and Dynamical Systems
EcSJ	Journal of the Electrochemical Society
EnS	Energy Sources
Ergo	Ergonomics
FAAp	Functional Analysis and Its Applications
FBP	Food and Bioproducts Processing. Part C, Transactions of the Institution of Chemical Engineers
FInfo	Fundamenta Informaticae
FPhL	Foundations of Physics Letters
Fer	Ferroelectrics
FerLS	Ferroelectrics Letters Section
FiBr	First Break
GEB	Games and Economic Behavior
GMIP	Graphical Models and Image Processing
Gen	Genetica
GeoD	Geometriae Dedicata
GeomJ	Geomicrobiology Journal
GlMaJ	Glasgow Mathematical Journal
HECh	High Energy Chemistry
HGT	Human Gene Therapy
HPP	High Performance Polymers
Holz	Holzforschung
IAEMS	IEEE Aerospace and Electronic Systems
ICAE	Integrated Computer-Aided Engineering
ICD	IEEE Circuits and Devices
IFB	Interfaces and Free Boundaries
IJApE	International Journal of Applied Electromagnetics and Mechanics
IJCV	International Journal of Computer Vision
IJHSC	International Journal of High Speed Computing
IJHSE	International Journal of High Speed Electronics and Systems
IJHy	International Journal of Hyperthermia
IJM	International Journal of Mathematics
IJMeS	International Journal Of Mechanical Sciences
IJNMH	International Journal of Numerical Methods for Heat & Fluid Flow
IJOMS	International Journal of Oral and Maxillofacial Surgery
IJPM	International Journal of Polymeric Materials
IJPR	International Journal of Production Research
IJRB	International Journal of Radiation Biology
IJSSc	International Journal of Systems Science
IMEPA	IME Proceedings. Part A: Journal of Power and Energy
IMEPB	IME Proceedings. Part B: Journal of Engineering Manufacture
IMEPC	IME Proceedings. Part C: Journal of Mechanical Engineering Science
IMEPD	IME Proceedings. Part D: Journal of Automobile Engineering
IMEPE	IME Proceedings. Part E: Journal of Process Mechanical Engineering
IMEPG	IME Proceedings. Part G: Journal of Aerospace Engineering
IMEPH	IME Proceedings. Part H: Journal of Engineering in Medicine
IMEPI	IME Proceedings. Part I: Journal of Systems and Control Engineering
IMEPK	IME Proceedings. Part K: Journal of Multibody Dynamics
IPECS	Iee Proceedings-circuits Devices And Systems
ITDEI	IEEE Transactions On Dielectrics And Electrical Insulation
ITMI	IEEE Transactions On Medical Imaging
ITPD	IEEE Transactions On Power Delivery
ITSF	Integral Transforms and Special Functions
ITSM	IEEE Transactions Semiconduct M
ImRv	Immunological Reviews
InCo	Information and Computation
